time	V(out)
	7.906157e-006	1.213311e+001
	7.911507e-006	1.213321e+001
	7.916507e-006	1.213328e+001
	7.921507e-006	1.213336e+001
	7.923470e-006	1.213338e+001
	7.924799e-006	1.213340e+001
	7.925891e-006	1.213340e+001
	7.926730e-006	1.213341e+001
	7.927564e-006	1.213341e+001
	7.928546e-006	1.213339e+001
	7.929453e-006	1.213337e+001
	7.930439e-006	1.213331e+001
	7.931379e-006	1.213320e+001
	7.932373e-006	1.213301e+001
	7.933349e-006	1.213268e+001
	7.934374e-006	1.213215e+001
	7.934777e-006	1.213187e+001
	7.935046e-006	1.213164e+001
	7.935214e-006	1.213148e+001
	7.935386e-006	1.213130e+001
	7.935558e-006	1.213110e+001
	7.935828e-006	1.213078e+001
	7.936103e-006	1.213045e+001
	7.936438e-006	1.213003e+001
	7.936772e-006	1.212963e+001
	7.937205e-006	1.212913e+001
	7.937634e-006	1.212866e+001
	7.938141e-006	1.212811e+001
	7.938643e-006	1.212758e+001
	7.939279e-006	1.212691e+001
	7.940079e-006	1.212609e+001
	7.940942e-006	1.212521e+001
	7.941807e-006	1.212434e+001
	7.942750e-006	1.212342e+001
	7.943747e-006	1.212245e+001
	7.944836e-006	1.212142e+001
	7.946022e-006	1.212032e+001
	7.947364e-006	1.211910e+001
	7.948897e-006	1.211773e+001
	7.950765e-006	1.211610e+001
	7.952491e-006	1.211463e+001
	7.954326e-006	1.211311e+001
	7.957995e-006	1.211016e+001
	7.965334e-006	1.210450e+001
	7.973312e-006	1.209862e+001
	7.983747e-006	1.209132e+001
	7.995587e-006	1.208348e+001
	8.013700e-006	1.207233e+001
	8.038763e-006	1.205826e+001
	8.071470e-006	1.204226e+001
	8.128940e-006	1.201967e+001
	8.236154e-006	1.198989e+001
	8.413022e-006	1.196207e+001
	8.766757e-006	1.193523e+001
	8.855190e-006	1.193219e+001
	9.032058e-006	1.192969e+001
	9.076275e-006	1.192916e+001
	9.091857e-006	1.192900e+001
	9.107438e-006	1.192883e+001
	9.123020e-006	1.192867e+001
	9.138602e-006	1.192851e+001
	9.154184e-006	1.192836e+001
	9.169766e-006	1.192821e+001
	9.185347e-006	1.192806e+001
	9.206771e-006	1.192786e+001
	9.209947e-006	1.192783e+001
	9.211835e-006	1.192781e+001
	9.213449e-006	1.192780e+001
	9.215608e-006	1.192779e+001
	9.217376e-006	1.192779e+001
	9.218899e-006	1.192780e+001
	9.220294e-006	1.192783e+001
	9.221624e-006	1.192789e+001
	9.223008e-006	1.192801e+001
	9.224374e-006	1.192822e+001
	9.225353e-006	1.192847e+001
	9.226167e-006	1.192876e+001
	9.226607e-006	1.192895e+001
	9.226793e-006	1.192904e+001
	9.226879e-006	1.192909e+001
	9.227245e-006	1.192931e+001
	9.227371e-006	1.192940e+001
	9.227496e-006	1.192948e+001
	9.227622e-006	1.192957e+001
	9.227747e-006	1.192966e+001
	9.227872e-006	1.192976e+001
	9.227998e-006	1.192985e+001
	9.228123e-006	1.192996e+001
	9.228920e-006	1.193063e+001
	9.230513e-006	1.193208e+001
	9.232170e-006	1.193367e+001
	9.235484e-006	1.193693e+001
	9.239270e-006	1.194065e+001
	9.242690e-006	1.194397e+001
	9.245937e-006	1.194707e+001
	9.249049e-006	1.195001e+001
	9.251807e-006	1.195257e+001
	9.254229e-006	1.195480e+001
	9.256663e-006	1.195701e+001
	9.259116e-006	1.195922e+001
	9.262515e-006	1.196223e+001
	9.266489e-006	1.196569e+001
	9.271509e-006	1.196997e+001
	9.277173e-006	1.197468e+001
	9.284226e-006	1.198038e+001
	9.292522e-006	1.198687e+001
	9.300234e-006	1.199269e+001
	9.308017e-006	1.199835e+001
	9.315487e-006	1.200360e+001
	9.323233e-006	1.200886e+001
	9.330810e-006	1.201382e+001
	9.338550e-006	1.201871e+001
	9.346144e-006	1.202335e+001
	9.353853e-006	1.202788e+001
	9.361466e-006	1.203221e+001
	9.369165e-006	1.203642e+001
	9.386599e-006	1.204541e+001
	9.398013e-006	1.205087e+001
	9.409426e-006	1.205607e+001
	9.420840e-006	1.206100e+001
	9.432253e-006	1.206567e+001
	9.443666e-006	1.207008e+001
	9.455080e-006	1.207422e+001
	9.466493e-006	1.207810e+001
	9.498322e-006	1.208785e+001
	9.543581e-006	1.209909e+001
	9.627707e-006	1.211570e+001
	9.676767e-006	1.212172e+001
	9.713563e-006	1.212545e+001
	9.721739e-006	1.212616e+001
	9.738093e-006	1.212741e+001
	9.752752e-006	1.212843e+001
	9.767411e-006	1.212935e+001
	9.782070e-006	1.213017e+001
	9.796728e-006	1.213090e+001
	9.811387e-006	1.213154e+001
	9.826046e-006	1.213208e+001
	9.840705e-006	1.213252e+001
	9.877220e-006	1.213350e+001
	9.878361e-006	1.213353e+001
	9.880643e-006	1.213357e+001
	9.885207e-006	1.213365e+001
	9.890207e-006	1.213374e+001
	9.895207e-006	1.213381e+001
	9.897483e-006	1.213384e+001
	9.898948e-006	1.213386e+001
	9.899939e-006	1.213387e+001
	9.900806e-006	1.213388e+001
	9.901579e-006	1.213389e+001
	9.902378e-006	1.213389e+001
	9.903362e-006	1.213388e+001
	9.904257e-006	1.213386e+001
	9.905247e-006	1.213381e+001
	9.906177e-006	1.213372e+001
	9.907172e-006	1.213356e+001
	9.908139e-006	1.213328e+001
	9.909160e-006	1.213282e+001
	9.909567e-006	1.213258e+001
	9.909841e-006	1.213237e+001
	9.910025e-006	1.213222e+001
	9.910166e-006	1.213208e+001
	9.910305e-006	1.213195e+001
	9.910475e-006	1.213177e+001
	9.910691e-006	1.213152e+001
	9.910959e-006	1.213120e+001
	9.911244e-006	1.213085e+001
	9.911582e-006	1.213043e+001
	9.911931e-006	1.213002e+001
	9.912346e-006	1.212955e+001
	9.912798e-006	1.212905e+001
	9.913326e-006	1.212848e+001
	9.913826e-006	1.212795e+001
	9.914498e-006	1.212725e+001
	9.915322e-006	1.212640e+001
	9.916186e-006	1.212553e+001
	9.917059e-006	1.212465e+001
	9.918017e-006	1.212372e+001
	9.919027e-006	1.212274e+001
	9.920136e-006	1.212170e+001
	9.921345e-006	1.212057e+001
	9.922723e-006	1.211933e+001
	9.924304e-006	1.211792e+001
	9.926265e-006	1.211623e+001
	9.928169e-006	1.211461e+001
	9.930108e-006	1.211301e+001
	9.933988e-006	1.210992e+001
	9.941746e-006	1.210398e+001
	9.949894e-006	1.209803e+001
	9.960825e-006	1.209044e+001
	9.973124e-006	1.208240e+001
	9.992601e-006	1.207058e+001
	1.001957e-005	1.205575e+001
	1.005446e-005	1.203922e+001
	1.011808e-005	1.201560e+001
	1.024532e-005	1.198344e+001
	1.043863e-005	1.195708e+001
	1.082526e-005	1.193349e+001
	1.092192e-005	1.193092e+001
	1.107932e-005	1.192920e+001
	1.109049e-005	1.192908e+001
	1.110166e-005	1.192897e+001
	1.111283e-005	1.192887e+001
	1.112400e-005	1.192876e+001
	1.113517e-005	1.192866e+001
	1.114634e-005	1.192855e+001
	1.115750e-005	1.192846e+001
	1.118119e-005	1.192824e+001
	1.118258e-005	1.192823e+001
	1.118438e-005	1.192822e+001
	1.118610e-005	1.192820e+001
	1.118801e-005	1.192820e+001
	1.118966e-005	1.192820e+001
	1.119115e-005	1.192821e+001
	1.119253e-005	1.192824e+001
	1.119400e-005	1.192831e+001
	1.119534e-005	1.192844e+001
	1.119675e-005	1.192869e+001
	1.119766e-005	1.192893e+001
	1.119842e-005	1.192922e+001
	1.119877e-005	1.192938e+001
	1.119893e-005	1.192946e+001
	1.119901e-005	1.192950e+001
	1.119938e-005	1.192973e+001
	1.119955e-005	1.192984e+001
	1.119972e-005	1.192996e+001
	1.119990e-005	1.193009e+001
	1.120007e-005	1.193022e+001
	1.120024e-005	1.193035e+001
	1.120041e-005	1.193049e+001
	1.120058e-005	1.193064e+001
	1.120179e-005	1.193169e+001
	1.120340e-005	1.193320e+001
	1.120621e-005	1.193596e+001
	1.120983e-005	1.193952e+001
	1.121336e-005	1.194296e+001
	1.121668e-005	1.194616e+001
	1.121988e-005	1.194920e+001
	1.122281e-005	1.195194e+001
	1.122527e-005	1.195421e+001
	1.122769e-005	1.195643e+001
	1.123013e-005	1.195863e+001
	1.123299e-005	1.196118e+001
	1.123677e-005	1.196450e+001
	1.124124e-005	1.196836e+001
	1.124667e-005	1.197293e+001
	1.125297e-005	1.197810e+001
	1.126073e-005	1.198426e+001
	1.126871e-005	1.199039e+001
	1.127649e-005	1.199615e+001
	1.128408e-005	1.200157e+001
	1.129171e-005	1.200684e+001
	1.129935e-005	1.201193e+001
	1.130702e-005	1.201687e+001
	1.131468e-005	1.202162e+001
	1.132234e-005	1.202621e+001
	1.132999e-005	1.203063e+001
	1.133766e-005	1.203490e+001
	1.134531e-005	1.203901e+001
	1.137590e-005	1.205401e+001
	1.138709e-005	1.205895e+001
	1.139828e-005	1.206365e+001
	1.140947e-005	1.206810e+001
	1.142066e-005	1.207233e+001
	1.143185e-005	1.207631e+001
	1.144304e-005	1.208005e+001
	1.145423e-005	1.208356e+001
	1.149192e-005	1.209402e+001
	1.155058e-005	1.210643e+001
	1.165558e-005	1.212304e+001
	1.166789e-005	1.212448e+001
	1.169251e-005	1.212665e+001
	1.170892e-005	1.212791e+001
	1.172533e-005	1.212906e+001
	1.174174e-005	1.213008e+001
	1.175816e-005	1.213099e+001
	1.177457e-005	1.213178e+001
	1.179098e-005	1.213245e+001
	1.180739e-005	1.213300e+001
	1.185202e-005	1.213412e+001
	1.185266e-005	1.213414e+001
	1.185392e-005	1.213416e+001
	1.185645e-005	1.213420e+001
	1.186151e-005	1.213429e+001
	1.186651e-005	1.213436e+001
	1.187151e-005	1.213443e+001
	1.187347e-005	1.213446e+001
	1.187480e-005	1.213447e+001
	1.187569e-005	1.213448e+001
	1.187647e-005	1.213448e+001
